ISIN;FONDO;DIVISA;CLASE DE ACTIVO;ESG;RENT. YTD;VOL 3A;FICHA
IE00BFMM8X74;Blackrock Multi Asset Conservative Selection;Euro;Cautious Allocation;Not Stated;2,78%;5,68%;https://api.fundinfo.com/document/c2867a3775dd1967b47a31b33d16cf81_157941/KID_ES_es_IE00BFMM8X74_YES_2021-02-19.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1570387610;Ninety One Global Multi-Asset Income;Euro;Cautious Allocation;Article 8;2,80%;4,59%;https://api.fundinfo.com/document/eb77b4d802f614a7053593d2a1ef16d8_91780/MR_ES_es_LU1570387610_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0243957239;Invesco Pan European High Income;Euro;Cautious Allocation;Article 8;5,19%;9,03%;https://api.fundinfo.com/document/a1610bb97fdb0c87ba68b30c437bf5f9_2146232/MR_ES_es_LU0243957239_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
IE00BDZS0L05;Pyrford Global Total Return;Euro;Cautious Allocation;Not Stated;5,74%;13,90%;https://lt.morningstar.com/xgnfa0k0aw/snapshotpdf/default.aspx?LanguageId=es-ES&Id=F0000103LF&ClientFund=1&SecurityToken=F0000103LF]2]1]FOEUR$$ALL_522&CurrencyId=EUR&BaseCurrencyId=EUR
LU0227384020;Nordea Stable Return Fund;Euro;Moderate Allocation;Article 8;7,03%;17,34%;https://api.fundinfo.com/document/868663720767e3178f7b4b667fa14ae7_625216/MR_ES_es_LU0227384020_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
DE000A0X7541;Acatis Gane Value Event;Euro;Flexible Allocation;Article 8;4,29%;11,54%;https://api.fundinfo.com/document/0082dd91686c72e2d5e6c8cb590c18fa_1171271/MR_ES_en_DE000A0X7541_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0048292808;BL - Global 50;Euro;Moderate Allocation;Article 8;-0,42%;13,34%;https://api.fundinfo.com/document/3472d985751fbdc6b8e9b49abecb6558_206560/MR_ES_en_LU0048292808_RES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1245471054;Flossbach von Storch - Multi Asset - Balanced;Euro;Moderate Allocation;Article 8;-0,03%;8,46%;https://api.fundinfo.com/document/4f684163e817f389fed06207805cbd42_407529/MR_ES_es_LU1245471054_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1442549025 ;MFS Prudent Capital;Euro;Moderate Allocation;Article 8;1,25%;5,02%;https://api.fundinfo.com/document/82063af2ff5562596dbc81ce65e2672e_138919/MR_ES_es_LU1442549025_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
ES0118537002;Olea Neutral;Euro;Moderate Allocation;Not Stated;1,21%;0,59%;https://api.fundinfo.com/document/6e7595ed78a636058d90bbe20ea8f777_266312/MR_ES_es_ES0118537002_YES_2023-05-31.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0941349192;Pictet Multi - Asset Global Opportunities;Euro;Cautious Allocation;Article 8;2,83%;9,85%;https://api.fundinfo.com/document/1560eaff657d0c7d3118f6abb7eb3327_176742/MR_ES_es_LU0941349192_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU2147879543;Tikehau Income Cross Assets;Euro;Flexible Allocation;Article 8;0,41%;7,22%;https://api.fundinfo.com/document/ad8e683a5cbd55a546609cbbf46de614_871503/MR_ES_es_LU2147879543_YES_2023-02-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0808562614;MFS Prudent Wealth;Euro;Moderate Allocation;Article 8;1,84%;4,90%;https://api.fundinfo.com/document/6ef89f59e0efe61cb14f2fef2b547c0b_136748/MR_ES_es_LU0808562614_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0433182416;First Eagle Amundi - International;Euro;Aggressive Allocation;Not Stated;1,84%;7,43%;https://api.fundinfo.com/document/8bc617229cc014b6cc4e69910c3f9d94_1007557/MR_ES_es_LU0433182416_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0592698954;Carmignac Emerging Patrimoine;Euro;Allocation Miscellaneous;Article 8;-1,29%;3,04%;https://api.fundinfo.com/document/113db6e23003ebe543f37b79db90bb02_253930/MR_ES_es_LU0592698954_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
